Year,Month,Day,Open,High,Low,Close,Volume,Adj Close
2002,11,11,89.51,89.56,87.8,88.26000213623047,33505100,60.62161636352539
2002,11,12,88.66,89.93,88.37,88.95999908447266,37724500,61.10236358642578
2002,11,13,88.32,89.74,87.45,89.05000305175781,63891500,61.16421127319336
2002,11,14,90.07,91.0,89.75,90.7300033569336,31896800,62.31809997558594
2002,11,15,90.0,91.55,89.95,91.4000015258789,39152100,62.77829360961914
2002,11,18,92.15,92.15,90.35,90.4800033569336,28934800,62.146400451660156
2002,11,19,90.02,91.1,89.76,90.36000061035156,32806600,62.0639762878418
2002,11,20,89.98,92.42,89.95,92.37000274658203,36688400,63.44456100463867
2002,11,21,92.6,94.19,92.43,94.08999633789062,55128200,64.62592315673828
2002,11,22,93.48,94.27,93.27,93.41999816894531,32513800,64.16572570800781
2002,11,25,93.43,94.26,92.77,93.4800033569336,33846400,64.20696258544922
2002,11,26,93.07,93.45,91.62,91.69999694824219,42284700,62.9843635559082
2002,11,27,92.52,94.65,92.43,94.27999877929688,37764000,64.7564468383789
2002,11,29,94.8,94.95,93.77,93.9800033569336,19385700,64.55036926269531
2002,12,2,95.47,96.05,93.22,94.12999725341797,49911900,64.65343475341797
2002,12,3,93.25,93.4,92.35,92.87000274658203,34407700,63.78797912597656
2002,12,4,91.77,93.14,91.43,92.44999694824219,64040800,63.49947738647461
2002,12,5,92.73,92.8,91.1,91.43000030517578,36724900,62.798919677734375
2002,12,6,90.12,92.17,89.98,92.02999877929688,49824100,63.211002349853516
2002,12,9,91.07,91.46,89.48,89.5,36789600,61.473289489746094
2002,12,10,90.02,91.1,89.76,90.69999694824219,33319900,62.29751205444336
2002,12,11,90.42,91.62,90.16,90.77999877929688,39201000,62.35244369506836
2002,12,12,91.2,91.49,90.2,90.7699966430664,34465600,62.345584869384766
2002,12,13,89.91,90.48,89.27,89.33999633789062,36862200,61.363338470458984
2002,12,16,89.82,91.79,89.66,91.6500015258789,37098400,62.950042724609375
2002,12,17,91.37,91.74,90.74,90.8499984741211,32353900,62.40053176879883
2002,12,18,90.32,90.4,89.33,89.80000305175781,35612600,61.6793098449707
2002,12,19,89.35,90.7,88.6,89.16000366210938,39264200,61.23973083496094
2002,12,20,89.2,90.02,89.1,89.98999786376953,31176900,62.11359786987305
2002,12,23,89.59,90.47,89.31,90.0199966430664,22599300,62.13428497314453
2002,12,24,89.59,89.86,89.25,89.3499984741211,10937000,61.671836853027344
2002,12,26,89.7,90.61,88.84,89.38999938964844,17485600,61.699462890625
2002,12,27,88.96,89.29,87.38,87.37999725341797,22205700,60.31208038330078
2002,12,30,87.79,88.47,87.22,88.11000061035156,29968000,60.81593322753906
2002,12,31,87.99,88.43,87.11,88.2300033569336,34036600,60.89876174926758
2003,1,2,88.85,91.3,88.54,91.06999969482422,44516300,62.8590202331543
2003,1,3,90.91,91.38,90.5,91.3499984741211,32222600,63.05226516723633
2003,1,6,91.24,93.49,91.17,92.95999908447266,40984500,64.16354370117188
2003,1,7,92.9,93.37,92.2,92.7300033569336,38640400,64.00480651855469
2003,1,8,92.2,92.4,91.05,91.38999938964844,38702200,63.079925537109375
2003,1,9,91.82,93.18,91.41,92.80999755859375,34804900,64.06002044677734
2003,1,10,91.95,93.64,91.8,93.05999755859375,37768900,64.23258209228516
2003,1,13,93.54,93.86,92.44,93.02999877929688,31649900,64.21189880371094
2003,1,14,92.69,93.83,92.41,93.33000183105469,30733000,64.41891479492188
2003,1,15,93.54,93.57,91.91,92.4000015258789,33511800,63.777015686035156
2003,1,16,92.5,92.93,91.45,92.0199966430664,44812100,63.51473617553711
2003,1,17,90.99,92.3,90.15,90.66000366210938,35618300,62.576019287109375
2003,1,21,90.87,90.92,88.95,89.25,36826200,61.60281753540039
2003,1,22,88.77,89.8,88.0,88.16999816894531,42286500,60.857364654541016
2003,1,23,88.75,89.38,87.95,88.70999908447266,55919800,61.2301025390625
2003,1,24,88.59,88.68,86.17,86.37999725341797,68633900,59.621856689453125
2003,1,27,85.73,86.8,84.5,85.19999694824219,57884400,58.80738067626953
2003,1,28,85.63,86.4,85.13,85.83000183105469,46929100,59.24221420288086
2003,1,29,85.42,87.18,84.77,86.4800033569336,53712200,59.69087600708008
2003,1,30,86.79,86.88,84.4,84.43000030517578,49845900,58.275882720947266
2003,1,31,84.15,86.21,84.15,86.05999755859375,55317000,59.400978088378906
2003,2,3,86.14,86.81,85.92,86.2300033569336,39696000,59.5183219909668
2003,2,4,85.31,85.75,84.3,85.37999725341797,43633400,58.9316291809082
2003,2,5,85.75,86.54,84.48,84.8499984741211,55270600,58.565773010253906
2003,2,6,84.37,84.89,83.65,84.44999694824219,53638000,58.289703369140625
2003,2,7,84.91,84.99,82.97,83.41999816894531,43165000,57.5787467956543
2003,2,10,83.46,84.13,82.65,84.01000213623047,45455900,57.986026763916016
2003,2,11,84.37,84.88,82.83,83.43000030517578,46861000,57.585670471191406
2003,2,12,83.16,83.62,82.09,82.0999984741211,35873600,56.667694091796875
2003,2,13,82.15,82.66,81.0,82.3499984741211,57934100,56.84022903442383
2003,2,14,82.37,84.2,81.82,84.1500015258789,59580900,58.08268737792969
2003,2,18,84.53,85.8,84.39,85.62999725341797,39492700,59.10416793823242
2003,2,19,85.32,85.47,84.28,85.18000030517578,31432000,58.7935905456543
2003,2,20,85.21,85.42,84.05,84.33000183105469,29280100,58.2068977355957
2003,2,21,84.38,85.74,83.46,85.18000030517578,60955800,58.7935905456543
2003,2,24,84.93,85.0,83.59,83.80000305175781,30628600,57.84107208251953
2003,2,25,82.95,84.49,82.22,84.47000122070312,56770600,58.30353546142578
2003,2,26,84.02,84.53,83.08,83.23999786376953,37787200,57.454551696777344
2003,2,27,83.7,84.75,83.16,84.33999633789062,51126000,58.21379470825195
2003,2,28,84.47,85.23,84.16,84.9000015258789,43666800,58.60032653808594
2003,3,3,85.26,85.78,83.72,84.08999633789062,42923100,58.041229248046875
2003,3,4,83.95,84.01,82.65,82.75,31440500,57.1163444519043
2003,3,5,82.61,83.54,82.36,83.44999694824219,43974700,57.59947967529297
2003,3,6,82.87,83.52,82.47,82.75,41217700,57.1163444519043
2003,3,7,81.61,83.99,81.43,83.31999969482422,63538000,57.50975799560547
2003,3,10,82.6,82.86,81.1,81.31999969482422,41014100,56.129302978515625
2003,3,11,81.48,82.0,80.48,80.5199966430664,48102700,55.577110290527344
2003,3,12,80.38,81.1,79.38,81.05999755859375,62459800,55.94982147216797
